"","code","name"
"388","x8385","伊予銀"
"389","x8386","百十四"
"390","x8388","阿波銀"
"391","x8390","鹿児銀"
"392","x8394","肥後銀"
"393","x8410","セブン銀"
"394","x8411","みずほＦＧ"
"395","x8415","紀陽ＨＤ"
"396","x8418","山口ＦＧ"
"397","x8439","ＴＣリース"
"398","x8473","ＳＢＩ"
"399","x8522","名古屋銀"
"400","x8544","京葉銀"
"401","x8570","イオンＦＳ"
"402","x8572","アコム"
"403","x8586","日立キャピ"
"404","x8595","ＪＡＦＣＯ"
"405","x8601","大和"
"406","x8604","野村"
"407","x8609","岡三"
"408","x8616","東海東京"
"409","x8628","松井"
"410","x8630","ＮＫＳＪＨＤ"
"411","x8714","池田泉州ＨＤ"
"412","x8725","ＭＳ"
"413","x8729","ソニーＦＨ"
"414","x8750","第一生命"
"415","x8766","東京海上"
"416","x8795","Ｔ"
"417","x8801","三井不"
"418","x8802","菱地所"
"419","x8804","東建物"
"420","x8815","東急不"
"421","x8830","住友不"
"422","x8905","イオンモール"
"423","x8933","ＮＴＴ都市"
"424","x9001","東武"
"425","x9003","相鉄ＨＤ"
"426","x9005","東急"
"427","x9006","京急"
"428","x9007","小田急"
"429","x9008","京王"
"430","x9009","京成"
"431","x9020","ＪＲ東日本"
"432","x9021","ＪＲ西日本"
"433","x9022","ＪＲ東海"
"434","x9031","西鉄"
"435","x9041","近鉄"
"436","x9042","阪急阪神"
"437","x9044","南海電"
"438","x9045","京阪電"
"439","x9048","名鉄"
"440","x9062","日通"
"441","x9064","ヤマトＨＤ"
"442","x9065","山九"
"443","x9072","日梱包"
"444","x9075","福山運"
"445","x9076","セイノーＨＤ"
"446","x9101","郵船"
"447","x9104","商船三井"
"448","x9107","川崎汽"
"449","x9201","ＪＡＬ"
"450","x9202","ＡＮＡＨＤ"
"451","x9301","三菱倉"
"452","x9303","住友倉"
"453","x9364","上組"
"454","x9401","ＴＢＳＨＤ"
"455","x9404","日テレＨＤ"
"456","x9409","テレビ朝日"
"457","x9432","ＮＴＴ"
"458","x9435","光通信"
"459","x9437","ＮＴＴドコモ"
"460","x9501","東電"
"461","x9502","中部電"
"462","x9503","関西電"
"463","x9504","中国電"
"464","x9505","北陸電"
"465","x9506","東北電"
"466","x9507","四国電"
"467","x9508","九州電"
"468","x9509","北海電"
"469","x9513","Ｊパワー"
"470","x9531","東ガス"
"471","x9532","大ガス"
"472","x9533","邦ガス"
"473","x9601","松竹"
"474","x9602","東宝"
"475","x9613","ＮＴＴデータ"
"476","x9684","スクエニＨＤ"
"477","x9697","カプコン"
"478","x9706","日本空港ビル"
"479","x9735","セコム"
"480","x9744","メイテック"
"481","x9747","アサツーＤＫ"
"482","x9766","コナミ"
"483","x9783","ベネッセＨＤ"
"484","x9793","ダイセキ"
"485","x9831","ヤマダ電"
"486","x9843","ニトリＨＤ"
"487","x9861","吉野家ＨＤ"
"488","x9962","ミスミＧ"
"489","x9983","ファストリ"
"490","x9984","ソフトバンク"
"491","x9987","スズケン"
"492","x9989","サンドラッグ"
